TYPE,Type,question_id,res,verieql_res_orig,verieql_res,bound_size,counterexample_path,runtime,output1,output2,generated_sql,gold_sql
BG,Incorrect Gold,45,correct,incorrect,incorrect,2,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_45_bound2.txt,1.431801,"[('2147483648', 1.0)]","[('2147483648', 2), ('2147483648', 0)]","SELECT S.SCHOOL, AVG(T.AVGSCRWRITE) AS AVERAGEWRITINGSCORE FROM SCHOOLS S JOIN SATSCORES T ON S.CDSCODE = T.CDS WHERE S.ADMFNAME1 = 'RICCI' AND S.ADMLNAME1 = 'ULRICH' GROUP BY S.SCHOOL","SELECT T2.SCHOOL, T1.AVGSCRWRITE FROM SATSCORES AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDS = T2.CDSCODE WHERE T2.ADMFNAME1 = 'RICCI' AND T2.ADMLNAME1 = 'ULRICH'"
BG,Incorrect Gold,68,correct,incorrect,incorrect,1,./VeriEQL_results_null/csc-32b_sql.json/counterexample_68_bound1.txt,2.670381,"[('u',)]",[],SELECT COUNTY FROM SCHOOLS WHERE SOC = '11' AND CLOSEDDATE BETWEEN '1980-01-01' AND '1989-12-31' GROUP BY COUNTY ORDER BY COUNT(*) DESC LIMIT 1,"SELECT COUNTY FROM SCHOOLS WHERE STRFTIME('%Y', CLOSEDDATE) BETWEEN '1980' AND '1989' AND STATUSTYPE = 'CLOSED' AND SOC = 11 GROUP BY COUNTY ORDER BY COUNT(SCHOOL) DESC LIMIT 1"
BG,Incorrect Gold,73,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_73_bound1.txt,0.336005,"[(12,)]",[],SELECT T2.FRPM_COUNT_AGES_5_17 FROM SCHOOLS AS T1 INNER JOIN FRPM AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.EDOPSNAME = 'YOUTH AUTHORITY SCHOOL' AND T1.MAILSTREET = 'PO BOX 1040',SELECT T1.FRPM_COUNT_AGES_5_17 FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T2.MAILSTREET = 'PO BOX 1040' AND T2.SOCTYPE = 'YOUTH AUTHORITY FACILITIES'
BP,Incorrect prediction,80,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_80_bound1.txt,0.219049,"[('2147483649', '2147483648', 15)]","[('2147483648', '2147483648', 15)]","SELECT SOCTYPE, SCHOOL, LATITUDE FROM SCHOOLS ORDER BY LATITUDE DESC LIMIT 1","SELECT T1.SCHOOL_TYPE, T1.SCHOOL_NAME, T2.LATITUDE FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE ORDER BY T2.LATITUDE DESC LIMIT 1"
BP,Incorrect prediction,88,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_88_bound1.txt,0.260423,"[('2147483648', '2147483649')]","[('2147483648', '2147483648')]","SELECT S.ADMEMAIL1, SS.SNAME FROM SCHOOLS S JOIN SATSCORES SS ON S.CDSCODE = SS.CDS WHERE SS.CDS = ( SELECT CDS FROM SATSCORES ORDER BY NUMGE1500 DESC LIMIT 1 )","SELECT T2.ADMEMAIL1, T2.SCHOOL FROM SATSCORES AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDS = T2.CDSCODE ORDER BY T1.NUMGE1500 DESC LIMIT 1"
BG,Incorrect Gold,107,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_107_bound1.txt,0.21623,[],"[('2147483648',)]",SELECT C.GENDER FROM CLIENT C JOIN ACCOUNT A ON C.CLIENT_ID = A.ACCOUNT_ID JOIN DISTRICT D ON A.DISTRICT_ID = D.DISTRICT_ID WHERE D.DISTRICT_ID = (SELECT DISTRICT_ID FROM DISTRICT ORDER BY A11 DESC LIMIT 1) ORDER BY C.BIRTH_DATE LIMIT 1,"SELECT T2.GENDER FROM DISTRICT AS T1 INNER JOIN CLIENT AS T2 ON T1.DISTRICT_ID = T2.DISTRICT_ID ORDER BY T1.A11 DESC, T2.BIRTH_DATE ASC LIMIT 1"
BG,Incorrect Gold,126,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_126_bound1.txt,0.250483,"[(0.0,)]","[(None,)]","SELECT CAST(SUM(CASE WHEN T2.A2 = 'DECIN' THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(*) FROM ACCOUNT AS T1 INNER JOIN DISTRICT AS T2 ON T1.DISTRICT_ID = T2.DISTRICT_ID WHERE STRFTIME('%Y', T1.DATE) = '1993'","SELECT CAST(SUM(T1.A2 = 'DECIN') AS REAL) * 100 / COUNT(ACCOUNT_ID) FROM DISTRICT AS T1 INNER JOIN ACCOUNT AS T2 ON T1.DISTRICT_ID = T2.DISTRICT_ID WHERE STRFTIME('%Y', T2.DATE) = '1993'"
BG,Incorrect Gold,239,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_239_bound1.txt,0.240849,"[(0,)]","[(1,)]",SELECT COUNT(BOND_ID) FROM CONNECTED WHERE ATOM_ID LIKE 'TR%_19',"SELECT COUNT(T.BOND_ID) FROM CONNECTED AS T WHERE SUBSTR(T.ATOM_ID, -2) = '19'"
BG,Incorrect Gold,282,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_282_bound1.txt,0.186316,"[(None, '2147483648')]","[(0.0, '2147483648')]","SELECT CAST(SUM(CASE WHEN ATOM.ELEMENT = 'H' THEN 1 ELSE 0 END) AS REAL) / COUNT(ATOM.ELEMENT) AS RATIO, MOLECULE.LABEL FROM ATOM JOIN MOLECULE ON ATOM.MOLECULE_ID = MOLECULE.MOLECULE_ID WHERE ATOM.MOLECULE_ID = 'TR006'","WITH SUBQUERY AS (SELECT DISTINCT T1.ATOM_ID, T1.ELEMENT, T1.MOLECULE_ID, T2.LABEL FROM ATOM AS T1 INNER JOIN MOLECULE AS T2 ON T1.MOLECULE_ID = T2.MOLECULE_ID WHERE T2.MOLECULE_ID = 'TR006') SELECT CAST(COUNT(CASE WHEN ELEMENT = 'H' THEN ATOM_ID ELSE NULL END) AS REAL) / (CASE WHEN COUNT(ATOM_ID) = 0 THEN NULL ELSE COUNT(ATOM_ID) END) AS RATIO, LABEL FROM SUBQUERY GROUP BY LABEL"
BG,Incorrect Gold,308,correct,incorrect,incorrect,2,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_308_bound2.txt,0.534613,"[(1,)]","[(2,)]",SELECT COUNT(DISTINCT C.BOND_ID) FROM ATOM A JOIN CONNECTED C ON A.ATOM_ID = C.ATOM_ID WHERE A.ELEMENT = 'CL' OR A.ELEMENT = 'CL',SELECT COUNT(T1.BOND_ID) FROM CONNECTED AS T1 INNER JOIN ATOM AS T2 ON T1.ATOM_ID = T2.ATOM_ID WHERE T2.ELEMENT = 'CL'
BG,Incorrect Gold,312,correct,incorrect,incorrect,2,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_312_bound2.txt,0.540816,"[('2147483648',)]",[],SELECT M.LABEL FROM MOLECULE M JOIN BOND B ON M.MOLECULE_ID = B.MOLECULE_ID WHERE B.BOND_ID = 'TR001_2_4',SELECT DISTINCT T2.LABEL FROM ATOM AS T1 INNER JOIN MOLECULE AS T2 ON T1.MOLECULE_ID = T2.MOLECULE_ID INNER JOIN BOND AS T3 ON T2.MOLECULE_ID = T3.MOLECULE_ID WHERE T3.BOND_ID = 'TR001_2_4'
BG,Incorrect Gold,426,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_426_bound1.txt,0.211797,"[('2147483648',)]",[],SELECT NAME FROM SETS WHERE MTGOCODE = '' OR MTGOCODE IS NULL ORDER BY NAME ASC LIMIT 3,SELECT NAME FROM SETS WHERE MTGOCODE IS NULL ORDER BY NAME LIMIT 3
BG,Incorrect Gold,475,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_475_bound1.txt,0.398566,"[(0,)]","[(None,)]",SELECT COUNT(*) FROM SETS S JOIN CARDS C ON S.CODE = C.SETCODE WHERE S.NAME = 'COLDSNAP' AND C.BORDERCOLOR = 'BLACK',SELECT SUM(CASE WHEN T1.BORDERCOLOR = 'BLACK' THEN 1 ELSE 0 END) FROM CARDS AS T1 INNER JOIN SETS AS T2 ON T2.CODE = T1.SETCODE WHERE T2.NAME = 'COLDSNAP'
BP,Incorrect prediction,507,correct,incorrect,incorrect,4,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_507_bound4.txt,3.660412,"[(20.0,)]","[(25.0,)]",SELECT CAST(SUM(CASE WHEN S.ISONLINEONLY = 1 THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(*) AS PERCENTAGE_ONLINE_ONLY FROM SET_TRANSLATIONS ST JOIN SETS S ON ST.SETCODE = S.CODE WHERE ST.LANGUAGE = 'PORTUGUESE (BRAZIL)',SELECT CAST(SUM(CASE WHEN ISONLINEONLY = 1 THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(ID) FROM SETS WHERE CODE IN ( SELECT SETCODE FROM SET_TRANSLATIONS WHERE LANGUAGE = 'PORTUGUESE (BRAZIL)' )
BG,Incorrect Gold,512,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_512_bound1.txt,0.327198,"[(0,)]","[(None,)]",SELECT COUNT(*) FROM CARDS WHERE (POWER IS NULL OR POWER = '*') AND HASFOIL = 0 AND DUELDECK = 'A',SELECT SUM(CASE WHEN POWER = '*' OR POWER IS NULL THEN 1 ELSE 0 END) FROM CARDS WHERE HASFOIL = 0 AND DUELDECK = 'A'
BP,Incorrect prediction,534,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_534_bound1.txt,0.188899,"[('2147483648',)]",[],SELECT DISPLAYNAME FROM USERS ORDER BY VIEWS DESC LIMIT 1,SELECT DISPLAYNAME FROM USERS WHERE VIEWS = ( SELECT MAX(VIEWS) FROM USERS )
AQ,Ambiguous question,564,correct,incorrect,incorrect,2,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_564_bound2.txt,0.879382,"[('2147483649',)]","[('2147483649',), ('2147483648',)]",SELECT C.TEXT FROM POSTS P JOIN COMMENTS C ON P.ID = C.POSTID WHERE P.PARENTID = 107829 AND P.COMMENTCOUNT = 1 LIMIT 1,SELECT T2.TEXT FROM POSTS AS T1 INNER JOIN COMMENTS AS T2 ON T1.ID = T2.POSTID WHERE T1.PARENTID = 107829 AND T1.COMMENTCOUNT = 1
BG,Incorrect Gold,591,correct,incorrect,incorrect,2,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_591_bound2.txt,0.654431,"[(1,)]","[(2,)]","SELECT COUNT(DISTINCT USERID) FROM BADGES WHERE NAME = 'SUPPORTER' AND STRFTIME('%Y', DATE) = '2011'","SELECT COUNT(ID) FROM BADGES WHERE STRFTIME('%Y', DATE) = '2011' AND NAME = 'SUPPORTER'"
BG,Incorrect Gold,657,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_657_bound1.txt,0.241761,[],"[('2147483648', '2147483648')]","SELECT U.DISPLAYNAME, U.WEBSITEURL FROM USERS U JOIN VOTES V ON U.ID = V.USERID WHERE V.VOTETYPEID = 8 AND V.BOUNTYAMOUNT = ( SELECT MAX(BOUNTYAMOUNT) FROM VOTES WHERE VOTETYPEID = 8 )","SELECT DISPLAYNAME, WEBSITEURL FROM USERS WHERE ID = ( SELECT USERID FROM VOTES WHERE VOTETYPEID = 8 ORDER BY BOUNTYAMOUNT DESC LIMIT 1 )"
