question_id,supported,error
0,True,
2,True,
3,True,
5,True,
6,True,
7,True,
8,True,
9,True,
10,True,
11,True,
13,True,
14,True,
16,True,
18,True,
19,True,
20,True,
23,True,
24,True,
29,True,
32,True,
34,True,
35,True,
36,True,
37,True,
38,True,
39,False,Z3Exception: Non-sequence passed as a sequence
42,True,
44,True,
45,True,
46,True,
47,False,Z3Exception: Non-sequence passed as a sequence
48,True,
50,True,
52,True,
54,True,
55,True,
57,True,
58,True,
59,True,
60,True,
61,True,
62,True,
64,True,
66,False,Z3Exception: Non-sequence passed as a sequence
67,False,Z3Exception: Non-sequence passed as a sequence
68,False,Z3Exception: Non-sequence passed as a sequence
69,True,
70,True,
72,True,
73,True,
74,True,
75,True,
76,True,
78,True,
79,True,
80,True,
81,True,
83,True,
86,True,
88,True,
89,True,
92,True,
93,True,
94,False,AttributeError: 'FProjectionTable' object has no attribute 'require_tuples'
95,False,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute CURRENT_DATE`
96,True,
97,True,
98,False,Z3Exception: Non-sequence passed as a sequence
99,False,Z3Exception: Non-sequence passed as a sequence
100,False,Z3Exception: Non-sequence passed as a sequence
101,False,Z3Exception: Non-sequence passed as a sequence
102,False,Z3Exception: Non-sequence passed as a sequence
103,True,
104,True,
105,True,
107,True,
108,True,
109,True,
111,False,Z3Exception: Non-sequence passed as a sequence
112,True,
113,True,
114,True,
117,True,
119,False,Z3Exception: Non-sequence passed as a sequence
120,False,Z3Exception: Non-sequence passed as a sequence
121,True,
122,True,
123,True,
126,False,Z3Exception: Non-sequence passed as a sequence
127,True,
128,True,
131,True,
132,True,
133,True,
135,True,
137,True,
138,True,
139,True,
140,True,
143,True,
146,True,
147,True,
148,True,
149,True,
150,True,
151,True,
153,True,
154,True,
155,False,Z3Exception: Non-sequence passed as a sequence
156,True,
157,True,
158,False,ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT T2.DISTRICT_ID FROM ORDER AS T1 INNER JOIN ACCOUNT AS T2 ON T1.ACCOUNT_ID = T2.ACCOUNT_ID WHERE T1.ORDER_ID = 33333`
160,True,
161,True,
162,True,
163,True,
164,False,ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT T1.CLIENT_ID FROM CLIENT AS T1 JOIN DISP AS T2 ON T1.CLIENT_ID = T2.CLIENT_ID JOIN ACCOUNT AS T3 ON T2.ACCOUNT_ID = T3.ACCOUNT_ID WHERE T2.ACCOUNT_ID IN (SELECT ACCOUNT_ID FROM ORDER WHERE ORDER_ID = 32423)`
166,True,
167,True,
168,True,
170,False,Z3Exception: Non-sequence passed as a sequence
175,True,
176,True,
178,True,
179,False,Z3Exception: Non-sequence passed as a sequence
181,True,
183,False,Z3Exception: Non-sequence passed as a sequence
185,True,
187,True,
188,False,Z3Exception: Non-sequence passed as a sequence
190,False,Z3Exception: Non-sequence passed as a sequence
191,True,
194,False,Z3Exception: Non-sequence passed as a sequence
195,True,
200,True,
202,True,
203,True,
204,True,
206,True,
208,True,
210,True,
212,True,
213,True,
214,True,
216,True,
220,True,
222,True,
224,True,
229,True,
230,True,
