bound_size,question_id,equivalent,error,time_cost,generated_sql,gold_sql
1,0,False,,0.176791,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
2,0,False,,0.234079,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
3,0,False,,0.489781,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
4,0,False,,0.613739,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
5,0,False,,0.958852,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
1,1,False,,0.266853,SELECT T2.FREE_MEAL_COUNT_AGES_5_17 / T2.ENROLLMENT_AGES_5_17 AS ELIGIBLEFREERATE FROM SCHOOLS AS T1 INNER JOIN FRPM AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.EDOPSNAME = 'CONTINUATION SCHOOL' AND T2.ENROLLMENT_AGES_5_17 > 0 AND T2.FREE_MEAL_COUNT_AGES_5_17 IS NOT NULL AND T2.ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY ELIGIBLEFREERATE ASC LIMIT 3,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
2,1,False,,0.6769850000000001,SELECT T2.FREE_MEAL_COUNT_AGES_5_17 / T2.ENROLLMENT_AGES_5_17 AS ELIGIBLEFREERATE FROM SCHOOLS AS T1 INNER JOIN FRPM AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.EDOPSNAME = 'CONTINUATION SCHOOL' AND T2.ENROLLMENT_AGES_5_17 > 0 AND T2.FREE_MEAL_COUNT_AGES_5_17 IS NOT NULL AND T2.ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY ELIGIBLEFREERATE ASC LIMIT 3,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
3,1,False,,5.787439000000001,SELECT T2.FREE_MEAL_COUNT_AGES_5_17 / T2.ENROLLMENT_AGES_5_17 AS ELIGIBLEFREERATE FROM SCHOOLS AS T1 INNER JOIN FRPM AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.EDOPSNAME = 'CONTINUATION SCHOOL' AND T2.ENROLLMENT_AGES_5_17 > 0 AND T2.FREE_MEAL_COUNT_AGES_5_17 IS NOT NULL AND T2.ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY ELIGIBLEFREERATE ASC LIMIT 3,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
4,1,Unknown,,600.05,N/A,N/A
5,1,Unknown,,600.06,N/A,N/A
