bound_size,question_id,equivalent,error,time_cost,generated_sql,gold_sql
1,0,True,,0.19935,SELECT MAX( CASE WHEN T1.ENROLLMENT_K12 = 0 THEN NULL ELSE T1.FREE_MEAL_COUNT_K12 / T1.ENROLLMENT_K12 END ) AS MAXELIGIBLEFREERATE FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.COUNTY_NAME = 'ALAMEDA';,SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
2,0,True,,0.643663,SELECT MAX( CASE WHEN T1.ENROLLMENT_K12 = 0 THEN NULL ELSE T1.FREE_MEAL_COUNT_K12 / T1.ENROLLMENT_K12 END ) AS MAXELIGIBLEFREERATE FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.COUNTY_NAME = 'ALAMEDA';,SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
3,0,True,,5.0236,SELECT MAX( CASE WHEN T1.ENROLLMENT_K12 = 0 THEN NULL ELSE T1.FREE_MEAL_COUNT_K12 / T1.ENROLLMENT_K12 END ) AS MAXELIGIBLEFREERATE FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.COUNTY_NAME = 'ALAMEDA';,SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
4,0,True,,5.185524,SELECT MAX( CASE WHEN T1.ENROLLMENT_K12 = 0 THEN NULL ELSE T1.FREE_MEAL_COUNT_K12 / T1.ENROLLMENT_K12 END ) AS MAXELIGIBLEFREERATE FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.COUNTY_NAME = 'ALAMEDA';,SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
5,0,True,,8.671036,SELECT MAX( CASE WHEN T1.ENROLLMENT_K12 = 0 THEN NULL ELSE T1.FREE_MEAL_COUNT_K12 / T1.ENROLLMENT_K12 END ) AS MAXELIGIBLEFREERATE FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.COUNTY_NAME = 'ALAMEDA';,SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
1,1,False,,0.214923,SELECT CAST(FREE_MEAL_COUNT_AGES_5_17 AS REAL) / ENROLLMENT_AGES_5_17 AS ELIGIBLEFREERATE FROM FRPM INNER JOIN SCHOOLS ON FRPM.CDSCODE = SCHOOLS.CDSCODE WHERE SCHOOLS.EDOPSNAME = 'CONTINUATION SCHOOL' AND ENROLLMENT_AGES_5_17 > 0 ORDER BY ELIGIBLEFREERATE ASC LIMIT 3;,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
2,1,False,,0.535917,SELECT CAST(FREE_MEAL_COUNT_AGES_5_17 AS REAL) / ENROLLMENT_AGES_5_17 AS ELIGIBLEFREERATE FROM FRPM INNER JOIN SCHOOLS ON FRPM.CDSCODE = SCHOOLS.CDSCODE WHERE SCHOOLS.EDOPSNAME = 'CONTINUATION SCHOOL' AND ENROLLMENT_AGES_5_17 > 0 ORDER BY ELIGIBLEFREERATE ASC LIMIT 3;,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
3,1,False,,1.5172809999999999,SELECT CAST(FREE_MEAL_COUNT_AGES_5_17 AS REAL) / ENROLLMENT_AGES_5_17 AS ELIGIBLEFREERATE FROM FRPM INNER JOIN SCHOOLS ON FRPM.CDSCODE = SCHOOLS.CDSCODE WHERE SCHOOLS.EDOPSNAME = 'CONTINUATION SCHOOL' AND ENROLLMENT_AGES_5_17 > 0 ORDER BY ELIGIBLEFREERATE ASC LIMIT 3;,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
4,1,Unknown,,600.02,N/A,N/A
5,1,Unknown,,600.01,N/A,N/A
