bound_size,question_id,equivalent,counterexample,time_cost,generated_sql,gold_sql
1,0,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRM__FREE_MEAL_COUNTK12`,,SELECT MAX(CAST(FRM.FREE_MEAL_COUNTK12 AS REAL) / FRM.ENROLLMENTK12) AS MAX_ELIGIBLE_FREE_RATE FROM FRPM AS FRM INNER JOIN SCHOOLS AS SCH ON FRM.CDSCODE = SCH.CDSCODE WHERE SCH.COUNTY = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
2,0,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRM__FREE_MEAL_COUNTK12`,,SELECT MAX(CAST(FRM.FREE_MEAL_COUNTK12 AS REAL) / FRM.ENROLLMENTK12) AS MAX_ELIGIBLE_FREE_RATE FROM FRPM AS FRM INNER JOIN SCHOOLS AS SCH ON FRM.CDSCODE = SCH.CDSCODE WHERE SCH.COUNTY = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
3,0,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRM__FREE_MEAL_COUNTK12`,,SELECT MAX(CAST(FRM.FREE_MEAL_COUNTK12 AS REAL) / FRM.ENROLLMENTK12) AS MAX_ELIGIBLE_FREE_RATE FROM FRPM AS FRM INNER JOIN SCHOOLS AS SCH ON FRM.CDSCODE = SCH.CDSCODE WHERE SCH.COUNTY = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
4,0,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRM__FREE_MEAL_COUNTK12`,,SELECT MAX(CAST(FRM.FREE_MEAL_COUNTK12 AS REAL) / FRM.ENROLLMENTK12) AS MAX_ELIGIBLE_FREE_RATE FROM FRPM AS FRM INNER JOIN SCHOOLS AS SCH ON FRM.CDSCODE = SCH.CDSCODE WHERE SCH.COUNTY = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
5,0,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRM__FREE_MEAL_COUNTK12`,,SELECT MAX(CAST(FRM.FREE_MEAL_COUNTK12 AS REAL) / FRM.ENROLLMENTK12) AS MAX_ELIGIBLE_FREE_RATE FROM FRPM AS FRM INNER JOIN SCHOOLS AS SCH ON FRM.CDSCODE = SCH.CDSCODE WHERE SCH.COUNTY = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
1,1,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute T2__FREE_MEAL_COUNTAGES_5_17`,,"SELECT T2.FREE_MEAL_COUNTAGES_5_17, T2.ENROLLMENTAGES_5_17 FROM FRPM AS T2 INNER JOIN SCHOOLS AS T1 ON T2.CDSCODE = T1.CDSCODE WHERE T1.STATUSTYPE = 'CONTINUATION' ORDER BY T2.FREE_MEAL_COUNTAGES_5_17 / T2.ENROLLMENTAGES_5_17 ASC LIMIT 3",SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
2,1,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute T2__FREE_MEAL_COUNTAGES_5_17`,,"SELECT T2.FREE_MEAL_COUNTAGES_5_17, T2.ENROLLMENTAGES_5_17 FROM FRPM AS T2 INNER JOIN SCHOOLS AS T1 ON T2.CDSCODE = T1.CDSCODE WHERE T1.STATUSTYPE = 'CONTINUATION' ORDER BY T2.FREE_MEAL_COUNTAGES_5_17 / T2.ENROLLMENTAGES_5_17 ASC LIMIT 3",SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
3,1,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute T2__FREE_MEAL_COUNTAGES_5_17`,,"SELECT T2.FREE_MEAL_COUNTAGES_5_17, T2.ENROLLMENTAGES_5_17 FROM FRPM AS T2 INNER JOIN SCHOOLS AS T1 ON T2.CDSCODE = T1.CDSCODE WHERE T1.STATUSTYPE = 'CONTINUATION' ORDER BY T2.FREE_MEAL_COUNTAGES_5_17 / T2.ENROLLMENTAGES_5_17 ASC LIMIT 3",SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
4,1,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute T2__FREE_MEAL_COUNTAGES_5_17`,,"SELECT T2.FREE_MEAL_COUNTAGES_5_17, T2.ENROLLMENTAGES_5_17 FROM FRPM AS T2 INNER JOIN SCHOOLS AS T1 ON T2.CDSCODE = T1.CDSCODE WHERE T1.STATUSTYPE = 'CONTINUATION' ORDER BY T2.FREE_MEAL_COUNTAGES_5_17 / T2.ENROLLMENTAGES_5_17 ASC LIMIT 3",SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
5,1,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute T2__FREE_MEAL_COUNTAGES_5_17`,,"SELECT T2.FREE_MEAL_COUNTAGES_5_17, T2.ENROLLMENTAGES_5_17 FROM FRPM AS T2 INNER JOIN SCHOOLS AS T1 ON T2.CDSCODE = T1.CDSCODE WHERE T1.STATUSTYPE = 'CONTINUATION' ORDER BY T2.FREE_MEAL_COUNTAGES_5_17 / T2.ENROLLMENTAGES_5_17 ASC LIMIT 3",SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
