bound_size,question_id,equivalent,error,time_cost,generated_sql,gold_sql
1,0,False,,0.168885,SELECT MAX(FREE_MEAL_COUNT_K12 / ENROLLMENT_K12) AS HIGHESTELIGIBLEFREERATE FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
2,0,False,,0.242484,SELECT MAX(FREE_MEAL_COUNT_K12 / ENROLLMENT_K12) AS HIGHESTELIGIBLEFREERATE FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
3,0,False,,0.49975200000000003,SELECT MAX(FREE_MEAL_COUNT_K12 / ENROLLMENT_K12) AS HIGHESTELIGIBLEFREERATE FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
4,0,False,,0.5866359999999999,SELECT MAX(FREE_MEAL_COUNT_K12 / ENROLLMENT_K12) AS HIGHESTELIGIBLEFREERATE FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
5,0,False,,0.841094,SELECT MAX(FREE_MEAL_COUNT_K12 / ENROLLMENT_K12) AS HIGHESTELIGIBLEFREERATE FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
1,1,False,,0.27558699999999997,SELECT (T1.FREE_MEAL_COUNT_AGES_5_17 / T1.ENROLLMENT_AGES_5_17) AS ELIGIBLEFREERATE FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T2.SOCTYPE = 'CONTINUATION HIGH SCHOOLS' AND NOT T1.FREE_MEAL_COUNT_AGES_5_17 IS NULL AND NOT T1.ENROLLMENT_AGES_5_17 IS NULL AND T1.ENROLLMENT_AGES_5_17 > 0 ORDER BY ELIGIBLEFREERATE ASC LIMIT 3,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
2,1,False,,0.660791,SELECT (T1.FREE_MEAL_COUNT_AGES_5_17 / T1.ENROLLMENT_AGES_5_17) AS ELIGIBLEFREERATE FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T2.SOCTYPE = 'CONTINUATION HIGH SCHOOLS' AND NOT T1.FREE_MEAL_COUNT_AGES_5_17 IS NULL AND NOT T1.ENROLLMENT_AGES_5_17 IS NULL AND T1.ENROLLMENT_AGES_5_17 > 0 ORDER BY ELIGIBLEFREERATE ASC LIMIT 3,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
3,1,Unknown,,30.04,N/A,N/A
4,1,Unknown,,30.04,N/A,N/A
5,1,Unknown,,30.01,N/A,N/A
