bound_size,question_id,equivalent,error,time_cost,generated_sql,gold_sql
1,0,False,,0.171204,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
2,0,False,,0.22780799999999998,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
3,0,False,,0.51716,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
4,0,False,,0.604543,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
5,0,False,,0.961461,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
1,1,False,,0.279217,SELECT T2.FREE_MEAL_COUNT_AGES_5_17 / T2.ENROLLMENT_AGES_5_17 AS ELIGIBLEFREERATE FROM SCHOOLS AS T1 INNER JOIN FRPM AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.EDOPSNAME = 'CONTINUATION SCHOOL' AND T2.ENROLLMENT_AGES_5_17 > 0 AND T2.FREE_MEAL_COUNT_AGES_5_17 IS NOT NULL AND T2.ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY ELIGIBLEFREERATE ASC LIMIT 3,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
2,1,False,,0.660409,SELECT T2.FREE_MEAL_COUNT_AGES_5_17 / T2.ENROLLMENT_AGES_5_17 AS ELIGIBLEFREERATE FROM SCHOOLS AS T1 INNER JOIN FRPM AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.EDOPSNAME = 'CONTINUATION SCHOOL' AND T2.ENROLLMENT_AGES_5_17 > 0 AND T2.FREE_MEAL_COUNT_AGES_5_17 IS NOT NULL AND T2.ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY ELIGIBLEFREERATE ASC LIMIT 3,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
3,1,False,,5.459985,SELECT T2.FREE_MEAL_COUNT_AGES_5_17 / T2.ENROLLMENT_AGES_5_17 AS ELIGIBLEFREERATE FROM SCHOOLS AS T1 INNER JOIN FRPM AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.EDOPSNAME = 'CONTINUATION SCHOOL' AND T2.ENROLLMENT_AGES_5_17 > 0 AND T2.FREE_MEAL_COUNT_AGES_5_17 IS NOT NULL AND T2.ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY ELIGIBLEFREERATE ASC LIMIT 3,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
4,1,Unknown,,600.1,N/A,N/A
5,1,Unknown,,600.11,N/A,N/A
