bound_size,question_id,equivalent,error,time_cost,generated_sql,gold_sql
1,0,ERROR,ValueError: Index 0 not found in prediction file /home/hwu/txt2sql-verieql/VeriEQL/predictions_spider2/omni_portfolio.json,,,"WITH RUNS_SCORED AS ( SELECT BB.STRIKER AS PLAYER_ID, BB.MATCH_ID, BS.RUNS_SCORED AS RUNS FROM BALL_BY_BALL AS BB JOIN BATSMAN_SCORED AS BS ON BB.MATCH_ID = BS.MATCH_ID AND BB.OVER_ID = BS.OVER_ID AND BB.BALL_ID = BS.BALL_ID AND BB.INNINGS_NO = BS.INNINGS_NO WHERE BB.MATCH_ID IN (SELECT MATCH_ID FROM MATCH WHERE SEASON_ID = 5) ), TOTAL_RUNS AS ( SELECT PLAYER_ID, MATCH_ID, SUM(RUNS) AS TOTAL_RUNS FROM RUNS_SCORED GROUP BY PLAYER_ID, MATCH_ID ), BATTING_AVERAGES AS ( SELECT PLAYER_ID, SUM(TOTAL_RUNS) AS RUNS, COUNT(MATCH_ID) AS NUM_MATCHES, ROUND(SUM(TOTAL_RUNS) / CAST(COUNT(MATCH_ID) AS FLOAT), 3) AS BATTING_AVG FROM TOTAL_RUNS GROUP BY PLAYER_ID ORDER BY BATTING_AVG DESC LIMIT 5 ) SELECT P.PLAYER_NAME, B.BATTING_AVG FROM PLAYER AS P JOIN BATTING_AVERAGES AS B ON P.PLAYER_ID = B.PLAYER_ID ORDER BY B.BATTING_AVG DESC;"
1,1,ERROR,ValueError: Index 1 not found in prediction file /home/hwu/txt2sql-verieql/VeriEQL/predictions_spider2/omni_portfolio.json,,,"WITH DELIVERIES AS ( SELECT B.MATCH_ID, B.INNINGS_NO, B.STRIKER, B.NON_STRIKER, CASE WHEN B.STRIKER < B.NON_STRIKER THEN B.STRIKER ELSE B.NON_STRIKER END AS PLAYER1_ID, CASE WHEN B.STRIKER < B.NON_STRIKER THEN B.NON_STRIKER ELSE B.STRIKER END AS PLAYER2_ID, COALESCE(BS.RUNS_SCORED, 0) AS BATSMAN_RUNS, COALESCE(ER.EXTRA_RUNS, 0) AS EXTRA_RUNS FROM BALL_BY_BALL B LEFT JOIN BATSMAN_SCORED BS ON BS.MATCH_ID = B.MATCH_ID AND BS.INNINGS_NO = B.INNINGS_NO AND BS.OVER_ID = B.OVER_ID AND BS.BALL_ID = B.BALL_ID LEFT JOIN EXTRA_RUNS ER ON ER.MATCH_ID = B.MATCH_ID AND ER.INNINGS_NO = B.INNINGS_NO AND ER.OVER_ID = B.OVER_ID AND ER.BALL_ID = B.BALL_ID ), PARTNERSHIPS AS ( SELECT MATCH_ID, INNINGS_NO, PLAYER1_ID, PLAYER2_ID, SUM(CASE WHEN STRIKER = PLAYER1_ID THEN BATSMAN_RUNS ELSE 0 END) AS PLAYER1_INDIVIDUAL_RUNS, SUM(CASE WHEN STRIKER = PLAYER2_ID THEN BATSMAN_RUNS ELSE 0 END) AS PLAYER2_INDIVIDUAL_RUNS, SUM(BATSMAN_RUNS + EXTRA_RUNS) AS TOTAL_PARTNERSHIP_RUNS FROM DELIVERIES GROUP BY MATCH_ID, INNINGS_NO, PLAYER1_ID, PLAYER2_ID ), MAX_PARTNERSHIP_PER_MATCH AS ( SELECT MATCH_ID, MAX(TOTAL_PARTNERSHIP_RUNS) AS MAX_TOTAL_PARTNERSHIP_RUNS FROM PARTNERSHIPS GROUP BY MATCH_ID ) SELECT P.MATCH_ID, P.PLAYER1_ID, P.PLAYER2_ID, P.PLAYER1_INDIVIDUAL_RUNS, P.PLAYER2_INDIVIDUAL_RUNS, P.TOTAL_PARTNERSHIP_RUNS FROM PARTNERSHIPS P JOIN MAX_PARTNERSHIP_PER_MATCH M ON M.MATCH_ID = P.MATCH_ID AND M.MAX_TOTAL_PARTNERSHIP_RUNS = P.TOTAL_PARTNERSHIP_RUNS ORDER BY P.MATCH_ID, P.TOTAL_PARTNERSHIP_RUNS DESC, P.PLAYER1_ID, P.PLAYER2_ID;"
1,2,ERROR,ValueError: Index 2 not found in prediction file /home/hwu/txt2sql-verieql/VeriEQL/predictions_spider2/omni_portfolio.json,,,"WITH SEASON_MATCHES AS ( SELECT MATCH_ID FROM MATCH WHERE SEASON_ID = 5 ), RUNS_BY_PLAYER AS ( SELECT BBB.STRIKER AS PLAYER_ID, SUM(BS.RUNS_SCORED) AS TOTAL_RUNS FROM BATSMAN_SCORED BS JOIN BALL_BY_BALL BBB ON BS.MATCH_ID = BBB.MATCH_ID AND BS.OVER_ID = BBB.OVER_ID AND BS.BALL_ID = BBB.BALL_ID AND BS.INNINGS_NO = BBB.INNINGS_NO JOIN SEASON_MATCHES SM ON BS.MATCH_ID = SM.MATCH_ID GROUP BY BBB.STRIKER ), MATCHES_PLAYED AS ( SELECT PM.PLAYER_ID, COUNT(DISTINCT PM.MATCH_ID) AS MATCHES FROM PLAYER_MATCH PM JOIN SEASON_MATCHES SM ON PM.MATCH_ID = SM.MATCH_ID GROUP BY PM.PLAYER_ID ) SELECT P.PLAYER_NAME, (1.0 * RBP.TOTAL_RUNS) / MP.MATCHES AS BATTING_AVERAGE FROM RUNS_BY_PLAYER RBP JOIN MATCHES_PLAYED MP ON RBP.PLAYER_ID = MP.PLAYER_ID JOIN PLAYER P ON P.PLAYER_ID = RBP.PLAYER_ID ORDER BY BATTING_AVERAGE DESC LIMIT 5;"
1,3,ERROR,ValueError: Index 3 not found in prediction file /home/hwu/txt2sql-verieql/VeriEQL/predictions_spider2/omni_portfolio.json,,,"WITH FATAL_MOTO_VICTIMS AS ( SELECT LOWER(COALESCE(V.VICTIM_SAFETY_EQUIPMENT_1, '')) AS SE1, LOWER(COALESCE(V.VICTIM_SAFETY_EQUIPMENT_2, '')) AS SE2 FROM VICTIMS V JOIN PARTIES P ON P.CASE_ID = V.CASE_ID AND P.PARTY_NUMBER = V.PARTY_NUMBER WHERE LOWER(COALESCE(V.VICTIM_DEGREE_OF_INJURY, '')) = 'KILLED' AND LOWER(COALESCE(P.STATEWIDE_VEHICLE_TYPE, '')) LIKE '%MOTORCYCLE%' ), LABELED AS ( SELECT CASE WHEN (SE1 LIKE '%HELMET%' AND (SE1 LIKE '%USED%' OR SE1 LIKE '%WORN%')) OR (SE2 LIKE '%HELMET%' AND (SE2 LIKE '%USED%' OR SE2 LIKE '%WORN%')) THEN 'WEARING' WHEN (SE1 LIKE '%HELMET%' AND (SE1 LIKE '%NOT%' OR SE1 LIKE '%NONE%')) OR (SE2 LIKE '%HELMET%' AND (SE2 LIKE '%NOT%' OR SE2 LIKE '%NONE%')) THEN 'NOT_WEARING' END AS HELMET_USE FROM FATAL_MOTO_VICTIMS ), COUNTS AS ( SELECT HELMET_USE, COUNT(*) AS CNT FROM LABELED WHERE HELMET_USE IS NOT NULL GROUP BY HELMET_USE ), TOTALS AS ( SELECT SUM(CNT) AS TOTAL FROM COUNTS ) SELECT HELMET_USE, ROUND(100.0 * CNT / TOTAL, 2) AS PERCENTAGE FROM COUNTS, TOTALS WHERE HELMET_USE IN ('WEARING', 'NOT_WEARING') ORDER BY CASE HELMET_USE WHEN 'WEARING' THEN 1 WHEN 'NOT_WEARING' THEN 2 END;"
1,4,ERROR,NotSupportedError: Not supported feature: OVER,,"WITH TEAMGOALS AS ( SELECT T.TEAM_API_ID, M.SEASON, SUM(CASE WHEN T.TEAM_API_ID = M.HOME_TEAM_API_ID THEN M.HOME_TEAM_GOAL ELSE M.AWAY_TEAM_GOAL END) AS TOTAL_GOALS FROM TEAM T JOIN MATCH M ON T.TEAM_API_ID = M.HOME_TEAM_API_ID OR T.TEAM_API_ID = M.AWAY_TEAM_API_ID GROUP BY T.TEAM_API_ID, M.SEASON ), TEAMSEASONRANK AS ( SELECT TEAM_API_ID, SEASON, TOTAL_GOALS, ROW_NUMBER() OVER (PARTITION BY TEAM_API_ID ORDER BY TOTAL_GOALS DESC) AS SEASON_RANK FROM TEAMGOALS ), TOPSEASONGOALS AS ( SELECT TEAM_API_ID, SEASON, TOTAL_GOALS FROM TEAMSEASONRANK WHERE SEASON_RANK = 1 ), MEDIANCALCULATION AS ( SELECT TOTAL_GOALS, ROW_NUMBER() OVER (ORDER BY TOTAL_GOALS) AS ROW_NUM, COUNT(*) OVER () AS TOTAL_COUNT FROM TOPSEASONGOALS ) SELECT AVG(TOTAL_GOALS) AS MEDIAN_GOALS FROM MEDIANCALCULATION WHERE ROW_NUM IN (FLOOR((TOTAL_COUNT + 1) / 2.0), FLOOR((TOTAL_COUNT + 2) / 2.0));","WITH TEAM_SEASON_GOALS AS ( SELECT SEASON, TEAM_ID, SUM(GOALS) AS SEASON_GOALS FROM ( SELECT SEASON, HOME_TEAM_API_ID AS TEAM_ID, HOME_TEAM_GOAL AS GOALS FROM MATCH UNION ALL SELECT SEASON, AWAY_TEAM_API_ID AS TEAM_ID, AWAY_TEAM_GOAL AS GOALS FROM MATCH ) GROUP BY SEASON, TEAM_ID ), PER_TEAM_MAX AS ( SELECT TEAM_ID, MAX(SEASON_GOALS) AS HIGHEST_SEASON_GOALS FROM TEAM_SEASON_GOALS GROUP BY TEAM_ID ) SELECT AVG(HIGHEST_SEASON_GOALS) AS MEDIAN FROM ( SELECT HIGHEST_SEASON_GOALS FROM PER_TEAM_MAX ORDER BY HIGHEST_SEASON_GOALS LIMIT 2 - (SELECT COUNT(*) FROM PER_TEAM_MAX) % 2 OFFSET (SELECT (COUNT(*) - 1) / 2 FROM PER_TEAM_MAX) );"
1,5,False,,4.192533,"WITH PLAYERWINS AS ( SELECT P.PLAYER_API_ID, P.PLAYER_NAME, COUNT(*) AS WIN_COUNT FROM PLAYER P JOIN MATCH M ON P.PLAYER_API_ID IN ( M.HOME_PLAYER_1, M.HOME_PLAYER_2, M.HOME_PLAYER_3, M.HOME_PLAYER_4, M.HOME_PLAYER_5, M.HOME_PLAYER_6, M.HOME_PLAYER_7, M.HOME_PLAYER_8, M.HOME_PLAYER_9, M.HOME_PLAYER_10, M.HOME_PLAYER_11 ) WHERE M.HOME_TEAM_GOAL > M.AWAY_TEAM_GOAL GROUP BY P.PLAYER_API_ID, P.PLAYER_NAME ) SELECT PW.PLAYER_NAME FROM PLAYERWINS PW WHERE PW.WIN_COUNT = ( SELECT MAX(WIN_COUNT) FROM PLAYERWINS );","WITH APPEARANCES AS ( SELECT HOME_PLAYER_1 AS PLAYER_API_ID, CASE WHEN HOME_TEAM_GOAL > AWAY_TEAM_GOAL THEN 1 ELSE 0 END AS WIN FROM MATCH WHERE HOME_PLAYER_1 IS NOT NULL UNION ALL SELECT HOME_PLAYER_2, CASE WHEN HOME_TEAM_GOAL > AWAY_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE HOME_PLAYER_2 IS NOT NULL UNION ALL SELECT HOME_PLAYER_3, CASE WHEN HOME_TEAM_GOAL > AWAY_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE HOME_PLAYER_3 IS NOT NULL UNION ALL SELECT HOME_PLAYER_4, CASE WHEN HOME_TEAM_GOAL > AWAY_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE HOME_PLAYER_4 IS NOT NULL UNION ALL SELECT HOME_PLAYER_5, CASE WHEN HOME_TEAM_GOAL > AWAY_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE HOME_PLAYER_5 IS NOT NULL UNION ALL SELECT HOME_PLAYER_6, CASE WHEN HOME_TEAM_GOAL > AWAY_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE HOME_PLAYER_6 IS NOT NULL UNION ALL SELECT HOME_PLAYER_7, CASE WHEN HOME_TEAM_GOAL > AWAY_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE HOME_PLAYER_7 IS NOT NULL UNION ALL SELECT HOME_PLAYER_8, CASE WHEN HOME_TEAM_GOAL > AWAY_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE HOME_PLAYER_8 IS NOT NULL UNION ALL SELECT HOME_PLAYER_9, CASE WHEN HOME_TEAM_GOAL > AWAY_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE HOME_PLAYER_9 IS NOT NULL UNION ALL SELECT HOME_PLAYER_10, CASE WHEN HOME_TEAM_GOAL > AWAY_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE HOME_PLAYER_10 IS NOT NULL UNION ALL SELECT HOME_PLAYER_11, CASE WHEN HOME_TEAM_GOAL > AWAY_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE HOME_PLAYER_11 IS NOT NULL UNION ALL SELECT AWAY_PLAYER_1, CASE WHEN AWAY_TEAM_GOAL > HOME_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE AWAY_PLAYER_1 IS NOT NULL UNION ALL SELECT AWAY_PLAYER_2, CASE WHEN AWAY_TEAM_GOAL > HOME_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE AWAY_PLAYER_2 IS NOT NULL UNION ALL SELECT AWAY_PLAYER_3, CASE WHEN AWAY_TEAM_GOAL > HOME_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE AWAY_PLAYER_3 IS NOT NULL UNION ALL SELECT AWAY_PLAYER_4, CASE WHEN AWAY_TEAM_GOAL > HOME_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE AWAY_PLAYER_4 IS NOT NULL UNION ALL SELECT AWAY_PLAYER_5, CASE WHEN AWAY_TEAM_GOAL > HOME_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE AWAY_PLAYER_5 IS NOT NULL UNION ALL SELECT AWAY_PLAYER_6, CASE WHEN AWAY_TEAM_GOAL > HOME_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE AWAY_PLAYER_6 IS NOT NULL UNION ALL SELECT AWAY_PLAYER_7, CASE WHEN AWAY_TEAM_GOAL > HOME_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE AWAY_PLAYER_7 IS NOT NULL UNION ALL SELECT AWAY_PLAYER_8, CASE WHEN AWAY_TEAM_GOAL > HOME_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE AWAY_PLAYER_8 IS NOT NULL UNION ALL SELECT AWAY_PLAYER_9, CASE WHEN AWAY_TEAM_GOAL > HOME_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE AWAY_PLAYER_9 IS NOT NULL UNION ALL SELECT AWAY_PLAYER_10, CASE WHEN AWAY_TEAM_GOAL > HOME_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE AWAY_PLAYER_10 IS NOT NULL UNION ALL SELECT AWAY_PLAYER_11, CASE WHEN AWAY_TEAM_GOAL > HOME_TEAM_GOAL THEN 1 ELSE 0 END FROM MATCH WHERE AWAY_PLAYER_11 IS NOT NULL ), WIN_COUNTS AS ( SELECT PLAYER_API_ID, SUM(WIN) AS WINS FROM APPEARANCES GROUP BY PLAYER_API_ID ) SELECT P.PLAYER_NAME FROM WIN_COUNTS WC JOIN PLAYER P ON P.PLAYER_API_ID = WC.PLAYER_API_ID ORDER BY WC.WINS DESC LIMIT 1;"
1,6,True,,0.308142,"SELECT P.NAME AS PRODUCT_NAME, AVG(PL.QTY) AS AVERAGE_QUANTITY_PICKED FROM PICKING_LINE PL INNER JOIN PRODUCTS P ON PL.PRODUCT_ID = P.ID WHERE PL.ORDER_ID = 421 GROUP BY P.NAME;","SELECT P.NAME, AVG(PL.QTY) AS AVG_UNITS_PICKED FROM PICKING_LINE AS PL JOIN PRODUCTS AS P ON P.ID = PL.PRODUCT_ID WHERE PL.ORDER_ID = 421 GROUP BY P.ID, P.NAME;"
1,7,True,,0.175937,SELECT (CAST(COUNT(CASE WHEN HEALTH = 'GOOD' THEN 1 END) AS REAL) * 100) / COUNT(*) AS PERCENTAGE_GOOD_HEALTH FROM TREES WHERE BORONAME = 'BRONX';,SELECT 100.0 * SUM(CASE WHEN HEALTH = 'GOOD' THEN 1 ELSE 0 END) / COUNT(*) AS PERCENTAGE FROM TREES WHERE BORONAME = 'BRONX';
1,8,ERROR,ValueError: Index 8 not found in prediction file /home/hwu/txt2sql-verieql/VeriEQL/predictions_spider2/omni_portfolio.json,,,"WITH INV AS ( SELECT I.PRODUCT_ID, I.QTY, P.PURCHASED AS PURCHASED_DATE, SUM(I.QTY) OVER ( PARTITION BY I.PRODUCT_ID ORDER BY P.PURCHASED, I.QTY, I.ID ) AS CUM_END, SUM(I.QTY) OVER ( PARTITION BY I.PRODUCT_ID ORDER BY P.PURCHASED, I.QTY, I.ID ) - I.QTY AS CUM_START FROM INVENTORY I LEFT JOIN PURCHASES P ON P.ID = I.PURCHASE_ID ), OL AS ( SELECT ID AS ORDERLINE_ID, PRODUCT_ID, QTY AS ORDER_QTY FROM ORDERLINES ), ALLOC AS ( SELECT OL.ORDERLINE_ID, OL.PRODUCT_ID, OL.ORDER_QTY, COALESCE( SUM( CASE WHEN INV.PRODUCT_ID IS NULL THEN 0 ELSE MAX(MIN(INV.CUM_END, OL.ORDER_QTY) - INV.CUM_START, 0) END ), 0 ) AS PICKED_QTY FROM OL LEFT JOIN INV ON INV.PRODUCT_ID = OL.PRODUCT_ID GROUP BY OL.ORDERLINE_ID, OL.PRODUCT_ID, OL.ORDER_QTY ) SELECT P.NAME AS PRODUCT_NAME, AVG(CASE WHEN A.ORDER_QTY > 0 THEN 100.0 * A.PICKED_QTY / A.ORDER_QTY END) AS AVG_PICK_PERCENTAGE FROM ALLOC A JOIN PRODUCTS P ON P.ID = A.PRODUCT_ID GROUP BY P.NAME;"
1,9,ERROR,ValueError: Index 9 not found in prediction file /home/hwu/txt2sql-verieql/VeriEQL/predictions_spider2/omni_portfolio.json,,,"WITH IM_ALL AS ( SELECT CAST(_YEAR AS INT) AS YR, CAST(_MONTH AS INT) AS MO, MONTH_YEAR, INTEREST_ID, COMPOSITION, RANKING FROM INTEREST_METRICS ), MONTHLY_RN AS ( SELECT YR, MO, MONTH_YEAR, INTEREST_ID, COMPOSITION, RANKING, (YR * 12 + MO) AS M_IDX, ROW_NUMBER() OVER ( PARTITION BY YR, MO ORDER BY COMPOSITION DESC, RANKING ASC, INTEREST_ID ASC ) AS RN FROM IM_ALL ), ALL_MONTHLY_MAX AS ( SELECT M_IDX, YR, MO, MONTH_YEAR, INTEREST_ID, COMPOSITION AS MAX_COMPOSITION FROM MONTHLY_RN WHERE RN = 1 ), ALL_MONTHLY_MAX_NAMED AS ( SELECT M.*, IMAP.INTEREST_NAME AS INTEREST_NAME FROM ALL_MONTHLY_MAX M LEFT JOIN INTEREST_MAP IMAP ON CAST(M.INTEREST_ID AS INT) = IMAP.ID ), ALL_MONTHLY_MAX_ROLL AS ( SELECT M.*, AVG(MAX_COMPOSITION) OVER ( ORDER BY M_IDX ROWS BETWEEN 2 PRECEDING AND CURRENT ROW ) AS ROLLING_AVG_3M FROM ALL_MONTHLY_MAX_NAMED M ), TOP_RANK_ALL AS ( SELECT (CAST(_YEAR AS INT) * 12 + CAST(_MONTH AS INT)) AS M_IDX, INTEREST_ID FROM INTEREST_METRICS WHERE RANKING = 1 ), TOP_RANK_NAMES AS ( SELECT T.M_IDX, IMAP.INTEREST_NAME AS TOP_RANK_INTEREST_NAME FROM TOP_RANK_ALL T LEFT JOIN INTEREST_MAP IMAP ON CAST(T.INTEREST_ID AS INT) = IMAP.ID ) SELECT AMR.MONTH_YEAR AS DATE, AMR.INTEREST_NAME AS INTEREST_NAME, AMR.MAX_COMPOSITION AS MAX_INDEX_COMPOSITION, AMR.ROLLING_AVG_3M AS ROLLING_AVERAGE_3_MONTHS, PREV1.TOP_RANK_INTEREST_NAME AS PREV_1M_TOP_INTEREST_NAME, PREV2.TOP_RANK_INTEREST_NAME AS PREV_2M_TOP_INTEREST_NAME FROM ALL_MONTHLY_MAX_ROLL AMR LEFT JOIN TOP_RANK_NAMES PREV1 ON PREV1.M_IDX = AMR.M_IDX - 1 LEFT JOIN TOP_RANK_NAMES PREV2 ON PREV2.M_IDX = AMR.M_IDX - 2 WHERE AMR.M_IDX BETWEEN (2018*12 + 9) AND (2019*12 + 8) ORDER BY AMR.YR, AMR.MO;"
