question_id,supported,error
0,True,
2,True,
3,True,
5,True,
6,True,
7,True,
8,True,
9,True,
11,True,
12,True,
13,True,
14,True,
15,True,
18,True,
19,True,
20,True,
21,True,
22,True,
23,True,
29,True,
31,True,
34,True,
35,True,
38,True,
39,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
42,True,
44,True,
45,True,
47,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
49,True,
52,True,
54,True,
55,False,NotSupportedError: Not supported feature: Query must have a FROM clause
56,True,
57,True,
59,True,
60,True,
61,True,
62,True,
64,True,
66,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
67,False,AttributeError: 'ArithRef' object has no attribute 'year'
68,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
69,True,
71,True,
72,True,
73,True,
74,True,
77,True,
78,True,
79,True,
82,True,
86,True,
89,True,
90,True,
91,True,
92,True,
93,True,
96,True,
97,True,
98,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
99,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
100,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
102,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
103,True,
104,True,
105,True,
106,True,
107,True,
109,True,
111,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
112,True,
113,True,
114,True,
115,True,
117,True,
119,False,AttributeError: 'ArithRef' object has no attribute 'year'
120,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
121,True,
122,True,
123,True,
124,True,
126,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
127,True,
131,True,
132,True,
133,True,
134,True,
136,True,
137,True,
138,True,
139,True,
140,True,
143,True,
146,True,
147,True,
148,True,
149,True,
151,True,
152,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
153,True,
154,True,
155,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
156,True,
157,True,
158,False,ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT ACCOUNT.DISTRICT_ID FROM ACCOUNT JOIN ORDER ON ACCOUNT.ACCOUNT_ID = ORDER.ACCOUNT_ID WHERE ORDER.ORDER_ID = 33333;`
160,True,
161,True,
162,True,
163,True,
164,False,ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT CLIENT.CLIENT_ID FROM ORDER JOIN ACCOUNT ON ORDER.ACCOUNT_ID = ACCOUNT.ACCOUNT_ID JOIN DISP ON ACCOUNT.ACCOUNT_ID = DISP.ACCOUNT_ID JOIN CLIENT ON DISP.CLIENT_ID = CLIENT.CLIENT_ID WHERE ORDER.ORDER_ID = 32423;`
166,True,
167,True,
170,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
