bound_size,question_id,equivalent,error,time_cost,generated_sql,gold_sql
1,0,True,,0.16272399999999998,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
2,0,True,,0.224494,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
3,0,True,,0.336007,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
4,0,True,,0.63176,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
5,0,True,,1.8222960000000001,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
1,1,True,,0.231874,SELECT T2.FREE_MEAL_COUNT_AGES_5_17 / T2.ENROLLMENT_AGES_5_17 AS ELIGIBLEFREERATE FROM SCHOOLS AS T1 INNER JOIN FRPM AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.EDOPSNAME = 'CONTINUATION SCHOOL' AND T2.ENROLLMENT_AGES_5_17 > 0 AND T2.FREE_MEAL_COUNT_AGES_5_17 IS NOT NULL AND T2.ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY ELIGIBLEFREERATE ASC LIMIT 3,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
2,1,True,,0.5478759999999999,SELECT T2.FREE_MEAL_COUNT_AGES_5_17 / T2.ENROLLMENT_AGES_5_17 AS ELIGIBLEFREERATE FROM SCHOOLS AS T1 INNER JOIN FRPM AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.EDOPSNAME = 'CONTINUATION SCHOOL' AND T2.ENROLLMENT_AGES_5_17 > 0 AND T2.FREE_MEAL_COUNT_AGES_5_17 IS NOT NULL AND T2.ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY ELIGIBLEFREERATE ASC LIMIT 3,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
3,1,True,,1.190131,SELECT T2.FREE_MEAL_COUNT_AGES_5_17 / T2.ENROLLMENT_AGES_5_17 AS ELIGIBLEFREERATE FROM SCHOOLS AS T1 INNER JOIN FRPM AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.EDOPSNAME = 'CONTINUATION SCHOOL' AND T2.ENROLLMENT_AGES_5_17 > 0 AND T2.FREE_MEAL_COUNT_AGES_5_17 IS NOT NULL AND T2.ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY ELIGIBLEFREERATE ASC LIMIT 3,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
4,1,True,,295.813609,SELECT T2.FREE_MEAL_COUNT_AGES_5_17 / T2.ENROLLMENT_AGES_5_17 AS ELIGIBLEFREERATE FROM SCHOOLS AS T1 INNER JOIN FRPM AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.EDOPSNAME = 'CONTINUATION SCHOOL' AND T2.ENROLLMENT_AGES_5_17 > 0 AND T2.FREE_MEAL_COUNT_AGES_5_17 IS NOT NULL AND T2.ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY ELIGIBLEFREERATE ASC LIMIT 3,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
5,1,Unknown,,600.05,N/A,N/A
