question_id,supported,error
5,True,
6,True,
7,True,
9,True,
16,True,
19,True,
20,True,
38,True,
39,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
44,True,
45,True,
47,False,AttributeError: 'ArithRef' object has no attribute 'year'
54,True,
55,True,
58,True,
59,True,
60,True,
61,True,
63,True,
64,True,
68,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
69,True,
70,True,
74,True,
76,True,
78,True,
79,True,
82,True,
88,True,
89,True,
90,True,
91,True,
92,True,
93,True,
96,True,
97,True,
98,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
99,False,AttributeError: 'ArithRef' object has no attribute 'year'
100,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
101,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
102,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
103,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
104,True,
105,True,
106,True,
108,True,
109,True,
111,False,AttributeError: 'ArithRef' object has no attribute 'year'
112,True,
117,True,
119,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
120,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
121,True,
122,True,
123,True,
126,False,AttributeError: 'ArithRef' object has no attribute 'year'
127,True,
128,True,
131,True,
134,True,
135,True,
138,True,
139,True,
140,True,
143,True,
145,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
147,False,"AssertionError: VeriEQL only supports 4 like-cases: 'ABC', 'ABC%', '%ABC', 'ABC%DEF', but yours is %SOUTH BOHEMIA%"
148,True,
150,False,"AssertionError: VeriEQL only supports 4 like-cases: 'ABC', 'ABC%', '%ABC', 'ABC%DEF', but yours is %NORTH BOHEMIA%"
151,True,
154,True,
155,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
156,True,
157,True,
158,False,ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT T2.DISTRICT_ID FROM ORDER AS T1 INNER JOIN ACCOUNT AS T2 ON T1.ACCOUNT_ID = T2.ACCOUNT_ID WHERE T1.ORDER_ID = 33333`
160,True,
161,True,
162,True,
163,True,
165,True,
166,True,
168,True,
178,True,
183,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
185,True,
187,True,
188,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
190,False,"NotSupportedError: Not supported feature: invalid literal for int() with base 10: ""{'literal'"""
191,True,
195,True,
197,True,
200,True,
202,True,
204,True,
206,True,
208,True,
211,True,
212,True,
213,True,
222,True,
223,True,
224,True,
229,True,
230,True,
233,True,
236,True,
239,False,Z3Exception: Non-sequence passed as a sequence
240,True,
241,True,
242,False,Z3Exception: Non-sequence passed as a sequence
243,True,
245,True,
246,False,Z3Exception: Non-sequence passed as a sequence
249,True,
253,True,
256,True,
257,True,
260,True,
261,True,
262,True,
265,True,
266,True,
268,True,
270,True,
272,True,
273,True,
