bound_size,question_id,equivalent,error,time_cost,generated_sql,gold_sql
1,0,True,,0.160986,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS FLOAT) / CAST(ENROLLMENT_K12 AS FLOAT)) AS HIGHEST_ELIGIBLE_FREE_RATE FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA';,SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
2,0,True,,0.214847,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS FLOAT) / CAST(ENROLLMENT_K12 AS FLOAT)) AS HIGHEST_ELIGIBLE_FREE_RATE FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA';,SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
3,0,True,,0.295984,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS FLOAT) / CAST(ENROLLMENT_K12 AS FLOAT)) AS HIGHEST_ELIGIBLE_FREE_RATE FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA';,SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
4,0,True,,0.515269,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS FLOAT) / CAST(ENROLLMENT_K12 AS FLOAT)) AS HIGHEST_ELIGIBLE_FREE_RATE FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA';,SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
5,0,True,,1.431445,SELECT MAX(CAST(FREE_MEAL_COUNT_K12 AS FLOAT) / CAST(ENROLLMENT_K12 AS FLOAT)) AS HIGHEST_ELIGIBLE_FREE_RATE FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA';,SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
1,1,True,,0.237787,SELECT (CAST(F.FREE_MEAL_COUNT_AGES_5_17 AS FLOAT) / F.ENROLLMENT_AGES_5_17) AS ELIGIBLE_FREE_RATE FROM FRPM AS F JOIN SCHOOLS AS S ON F.CDSCODE = S.CDSCODE WHERE S.SOCTYPE = 'CONTINUATION HIGH SCHOOLS' AND F.ENROLLMENT_AGES_5_17 IS NOT NULL AND F.ENROLLMENT_AGES_5_17 != 0 ORDER BY ELIGIBLE_FREE_RATE ASC LIMIT 3;,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
2,1,True,,0.544691,SELECT (CAST(F.FREE_MEAL_COUNT_AGES_5_17 AS FLOAT) / F.ENROLLMENT_AGES_5_17) AS ELIGIBLE_FREE_RATE FROM FRPM AS F JOIN SCHOOLS AS S ON F.CDSCODE = S.CDSCODE WHERE S.SOCTYPE = 'CONTINUATION HIGH SCHOOLS' AND F.ENROLLMENT_AGES_5_17 IS NOT NULL AND F.ENROLLMENT_AGES_5_17 != 0 ORDER BY ELIGIBLE_FREE_RATE ASC LIMIT 3;,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
3,1,True,,1.4183270000000001,SELECT (CAST(F.FREE_MEAL_COUNT_AGES_5_17 AS FLOAT) / F.ENROLLMENT_AGES_5_17) AS ELIGIBLE_FREE_RATE FROM FRPM AS F JOIN SCHOOLS AS S ON F.CDSCODE = S.CDSCODE WHERE S.SOCTYPE = 'CONTINUATION HIGH SCHOOLS' AND F.ENROLLMENT_AGES_5_17 IS NOT NULL AND F.ENROLLMENT_AGES_5_17 != 0 ORDER BY ELIGIBLE_FREE_RATE ASC LIMIT 3;,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
4,1,True,,3.0692250000000003,SELECT (CAST(F.FREE_MEAL_COUNT_AGES_5_17 AS FLOAT) / F.ENROLLMENT_AGES_5_17) AS ELIGIBLE_FREE_RATE FROM FRPM AS F JOIN SCHOOLS AS S ON F.CDSCODE = S.CDSCODE WHERE S.SOCTYPE = 'CONTINUATION HIGH SCHOOLS' AND F.ENROLLMENT_AGES_5_17 IS NOT NULL AND F.ENROLLMENT_AGES_5_17 != 0 ORDER BY ELIGIBLE_FREE_RATE ASC LIMIT 3;,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
5,1,True,,9.281171,SELECT (CAST(F.FREE_MEAL_COUNT_AGES_5_17 AS FLOAT) / F.ENROLLMENT_AGES_5_17) AS ELIGIBLE_FREE_RATE FROM FRPM AS F JOIN SCHOOLS AS S ON F.CDSCODE = S.CDSCODE WHERE S.SOCTYPE = 'CONTINUATION HIGH SCHOOLS' AND F.ENROLLMENT_AGES_5_17 IS NOT NULL AND F.ENROLLMENT_AGES_5_17 != 0 ORDER BY ELIGIBLE_FREE_RATE ASC LIMIT 3;,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
