bound_size,question_id,equivalent,error,time_cost,generated_sql,gold_sql
1,0,True,,0.221863,SELECT MAX( CASE WHEN T1.ENROLLMENT_K12 = 0 THEN NULL ELSE T1.FREE_MEAL_COUNT_K12 / T1.ENROLLMENT_K12 END ) AS MAXELIGIBLEFREERATE FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.COUNTY_NAME = 'ALAMEDA';,SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
2,0,True,,0.6236929999999999,SELECT MAX( CASE WHEN T1.ENROLLMENT_K12 = 0 THEN NULL ELSE T1.FREE_MEAL_COUNT_K12 / T1.ENROLLMENT_K12 END ) AS MAXELIGIBLEFREERATE FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.COUNTY_NAME = 'ALAMEDA';,SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
3,0,True,,4.274885,SELECT MAX( CASE WHEN T1.ENROLLMENT_K12 = 0 THEN NULL ELSE T1.FREE_MEAL_COUNT_K12 / T1.ENROLLMENT_K12 END ) AS MAXELIGIBLEFREERATE FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.COUNTY_NAME = 'ALAMEDA';,SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
4,0,True,,5.280313,SELECT MAX( CASE WHEN T1.ENROLLMENT_K12 = 0 THEN NULL ELSE T1.FREE_MEAL_COUNT_K12 / T1.ENROLLMENT_K12 END ) AS MAXELIGIBLEFREERATE FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.COUNTY_NAME = 'ALAMEDA';,SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
5,0,True,,10.339917,SELECT MAX( CASE WHEN T1.ENROLLMENT_K12 = 0 THEN NULL ELSE T1.FREE_MEAL_COUNT_K12 / T1.ENROLLMENT_K12 END ) AS MAXELIGIBLEFREERATE FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.COUNTY_NAME = 'ALAMEDA';,SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
1,1,True,,0.226982,SELECT CAST(FREE_MEAL_COUNT_AGES_5_17 AS REAL) / ENROLLMENT_AGES_5_17 AS ELIGIBLEFREERATE FROM FRPM INNER JOIN SCHOOLS ON FRPM.CDSCODE = SCHOOLS.CDSCODE WHERE SCHOOLS.EDOPSNAME = 'CONTINUATION SCHOOL' AND ENROLLMENT_AGES_5_17 > 0 ORDER BY ELIGIBLEFREERATE ASC LIMIT 3;,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
2,1,True,,0.535369,SELECT CAST(FREE_MEAL_COUNT_AGES_5_17 AS REAL) / ENROLLMENT_AGES_5_17 AS ELIGIBLEFREERATE FROM FRPM INNER JOIN SCHOOLS ON FRPM.CDSCODE = SCHOOLS.CDSCODE WHERE SCHOOLS.EDOPSNAME = 'CONTINUATION SCHOOL' AND ENROLLMENT_AGES_5_17 > 0 ORDER BY ELIGIBLEFREERATE ASC LIMIT 3;,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
3,1,True,,1.491852,SELECT CAST(FREE_MEAL_COUNT_AGES_5_17 AS REAL) / ENROLLMENT_AGES_5_17 AS ELIGIBLEFREERATE FROM FRPM INNER JOIN SCHOOLS ON FRPM.CDSCODE = SCHOOLS.CDSCODE WHERE SCHOOLS.EDOPSNAME = 'CONTINUATION SCHOOL' AND ENROLLMENT_AGES_5_17 > 0 ORDER BY ELIGIBLEFREERATE ASC LIMIT 3;,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
4,1,True,,3.666894,SELECT CAST(FREE_MEAL_COUNT_AGES_5_17 AS REAL) / ENROLLMENT_AGES_5_17 AS ELIGIBLEFREERATE FROM FRPM INNER JOIN SCHOOLS ON FRPM.CDSCODE = SCHOOLS.CDSCODE WHERE SCHOOLS.EDOPSNAME = 'CONTINUATION SCHOOL' AND ENROLLMENT_AGES_5_17 > 0 ORDER BY ELIGIBLEFREERATE ASC LIMIT 3;,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
5,1,Unknown,,600.04,N/A,N/A
1,2,True,,0.277038,SELECT SCHOOLS.ZIP FROM FRPM INNER JOIN SCHOOLS ON FRPM.CDSCODE = SCHOOLS.CDSCODE WHERE FRPM.CHARTER_SCHOOL_YN = 1 AND FRPM.DISTRICT_NAME = 'FRESNO COUNTY OFFICE OF EDUCATION';,SELECT T2.ZIP FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.DISTRICT_NAME = 'FRESNO COUNTY OFFICE OF EDUCATION' AND T1.CHARTER_SCHOOL_YN = 1
2,2,True,,0.711193,SELECT SCHOOLS.ZIP FROM FRPM INNER JOIN SCHOOLS ON FRPM.CDSCODE = SCHOOLS.CDSCODE WHERE FRPM.CHARTER_SCHOOL_YN = 1 AND FRPM.DISTRICT_NAME = 'FRESNO COUNTY OFFICE OF EDUCATION';,SELECT T2.ZIP FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.DISTRICT_NAME = 'FRESNO COUNTY OFFICE OF EDUCATION' AND T1.CHARTER_SCHOOL_YN = 1
3,2,True,,1.388106,SELECT SCHOOLS.ZIP FROM FRPM INNER JOIN SCHOOLS ON FRPM.CDSCODE = SCHOOLS.CDSCODE WHERE FRPM.CHARTER_SCHOOL_YN = 1 AND FRPM.DISTRICT_NAME = 'FRESNO COUNTY OFFICE OF EDUCATION';,SELECT T2.ZIP FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.DISTRICT_NAME = 'FRESNO COUNTY OFFICE OF EDUCATION' AND T1.CHARTER_SCHOOL_YN = 1
4,2,True,,2.375838,SELECT SCHOOLS.ZIP FROM FRPM INNER JOIN SCHOOLS ON FRPM.CDSCODE = SCHOOLS.CDSCODE WHERE FRPM.CHARTER_SCHOOL_YN = 1 AND FRPM.DISTRICT_NAME = 'FRESNO COUNTY OFFICE OF EDUCATION';,SELECT T2.ZIP FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.DISTRICT_NAME = 'FRESNO COUNTY OFFICE OF EDUCATION' AND T1.CHARTER_SCHOOL_YN = 1
5,2,True,,3.568753,SELECT SCHOOLS.ZIP FROM FRPM INNER JOIN SCHOOLS ON FRPM.CDSCODE = SCHOOLS.CDSCODE WHERE FRPM.CHARTER_SCHOOL_YN = 1 AND FRPM.DISTRICT_NAME = 'FRESNO COUNTY OFFICE OF EDUCATION';,SELECT T2.ZIP FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.DISTRICT_NAME = 'FRESNO COUNTY OFFICE OF EDUCATION' AND T1.CHARTER_SCHOOL_YN = 1
