question_id,supported,error
0,True,
3,True,
4,True,
5,True,
6,True,
7,True,
9,True,
10,True,
11,True,
12,True,
13,True,
14,True,
15,True,
18,True,
19,True,
20,True,
21,True,
29,True,
31,True,
34,True,
35,True,
36,True,
38,True,
39,False,Z3Exception: Non-sequence passed as a sequence
41,False,NotSupportedError: Not supported feature: OVER
42,True,
45,True,
46,True,
50,True,
52,True,
54,True,
55,False,NotSupportedError: Not supported feature: Query must have a FROM clause
56,True,
57,True,
59,True,
60,True,
61,True,
62,True,
64,True,
66,False,Z3Exception: Non-sequence passed as a sequence
68,False,Z3Exception: Non-sequence passed as a sequence
69,True,
73,True,
75,True,
76,True,
77,True,
78,True,
79,True,
82,True,
86,True,
88,True,
89,True,
90,True,
91,True,
92,True,
93,True,
96,True,
97,True,
99,False,Z3Exception: Non-sequence passed as a sequence
100,False,Z3Exception: Non-sequence passed as a sequence
101,False,Z3Exception: Non-sequence passed as a sequence
102,False,Z3Exception: Non-sequence passed as a sequence
103,True,
104,True,
105,True,
106,True,
108,True,
109,True,
111,False,Z3Exception: Non-sequence passed as a sequence
112,True,
113,True,
114,True,
115,True,
117,True,
119,False,Z3Exception: Non-sequence passed as a sequence
120,False,Z3Exception: Non-sequence passed as a sequence
121,True,
122,True,
123,True,
127,True,
128,True,
131,True,
132,True,
134,True,
136,True,
137,True,
138,True,
139,True,
140,True,
143,True,
146,True,
147,True,
148,True,
149,True,
151,True,
152,False,Z3Exception: Non-sequence passed as a sequence
153,True,
154,True,
155,False,Z3Exception: Non-sequence passed as a sequence
156,True,
157,True,
158,False,ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT ACCOUNT.DISTRICT_ID FROM ORDER INNER JOIN ACCOUNT ON ORDER.ACCOUNT_ID = ACCOUNT.ACCOUNT_ID WHERE ORDER.ORDER_ID = 33333`
160,True,
161,True,
162,True,
163,True,
164,False,ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT CLIENT.CLIENT_ID FROM ORDER INNER JOIN DISP ON ORDER.ACCOUNT_ID = DISP.ACCOUNT_ID INNER JOIN CLIENT ON DISP.CLIENT_ID = CLIENT.CLIENT_ID WHERE ORDER.ORDER_ID = 32423`
166,True,
167,True,
170,False,Z3Exception: Non-sequence passed as a sequence
173,False,"ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT ACCOUNT.FREQUENCY, ORDER.K_SYMBOL FROM ACCOUNT INNER JOIN ORDER ON ACCOUNT.ACCOUNT_ID = ORDER.ACCOUNT_ID WHERE ACCOUNT.ACCOUNT_ID = 3 AND ORDER.AMOUNT = 3539`"
174,False,Z3Exception: Non-sequence passed as a sequence
175,True,
176,True,
177,True,
178,True,
179,False,Z3Exception: Non-sequence passed as a sequence
181,True,
183,False,Z3Exception: Non-sequence passed as a sequence
184,True,
187,True,
188,False,Z3Exception: Non-sequence passed as a sequence
189,True,
190,False,Z3Exception: Non-sequence passed as a sequence
191,True,
192,True,
194,False,Z3Exception: Non-sequence passed as a sequence
195,True,
196,True,
199,True,
200,True,
202,True,
203,True,
204,True,
205,True,
206,True,
208,True,
209,True,
210,True,
212,True,
213,True,
214,True,
216,True,
222,True,
224,True,
227,True,
228,True,
229,True,
230,True,
232,True,
233,True,
235,True,
236,True,
238,True,
240,True,
241,True,
242,False,Z3Exception: Non-sequence passed as a sequence
243,True,
244,True,
245,True,
246,False,Z3Exception: Non-sequence passed as a sequence
249,True,
250,True,
253,True,
255,True,
256,True,
257,True,
258,True,
260,True,
261,True,
262,True,
265,True,
266,True,
268,True,
272,True,
273,True,
274,True,
275,True,
276,True,
277,True,
278,True,
279,True,
280,True,
282,True,
283,True,
284,True,
285,False,"TypeError: sequence item 0: expected str instance, bool found"
287,True,
288,True,
289,True,
291,True,
292,False,Z3Exception: Non-sequence passed as a sequence
293,True,
294,True,
295,True,
297,True,
299,True,
300,True,
301,True,
302,True,
303,True,
304,True,
305,True,
307,True,
308,True,
312,True,
313,True,
314,True,
315,True,
316,True,
318,True,
319,True,
320,True,
321,True,
322,True,
323,True,
324,True,
325,True,
327,True,
328,True,
329,True,
331,True,
332,True,
333,True,
334,True,
336,True,
337,True,
338,True,
339,True,
345,True,
346,True,
348,True,
350,True,
351,True,
353,True,
355,True,
356,True,
358,True,
362,True,
364,True,
365,True,
366,True,
367,True,
368,True,
369,True,
370,True,
371,True,
372,True,
373,True,
374,True,
375,True,
378,True,
379,True,
380,True,
381,True,
382,True,
383,True,
385,True,
390,True,
391,True,
394,True,
395,False,Z3Exception: Non-sequence passed as a sequence
396,False,Z3Exception: Non-sequence passed as a sequence
397,True,
401,True,
404,True,
405,True,
409,True,
413,True,
414,True,
415,True,
418,True,
419,True,
420,True,
421,False,Z3Exception: Non-sequence passed as a sequence
422,True,
424,True,
427,True,
428,True,
429,True,
434,True,
435,True,
436,True,
438,True,
439,True,
440,True,
449,True,
450,True,
451,False,Z3Exception: Non-sequence passed as a sequence
452,True,
453,True,
455,True,
456,True,
457,False,Z3Exception: Non-sequence passed as a sequence
459,True,
460,True,
461,True,
462,True,
463,True,
464,True,
466,True,
467,True,
468,True,
470,True,
471,True,
472,True,
474,True,
475,True,
477,True,
478,True,
479,False,Z3Exception: Non-sequence passed as a sequence
480,True,
481,True,
483,True,
485,True,
486,True,
487,True,
488,True,
489,True,
490,True,
491,True,
492,False,Z3Exception: Non-sequence passed as a sequence
493,True,
495,True,
496,True,
497,True,
498,True,
501,True,
502,True,
503,True,
504,True,
505,True,
506,True,
508,True,
509,True,
