bound_size,question_id,equivalent,error,time_cost,generated_sql,gold_sql
1,0,False,,0.169284,SELECT MAX(FREE_MEAL_COUNT_K12 / ENROLLMENT_K12) AS HIGHESTELIGIBLEFREERATE FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
2,0,False,,0.228866,SELECT MAX(FREE_MEAL_COUNT_K12 / ENROLLMENT_K12) AS HIGHESTELIGIBLEFREERATE FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
3,0,False,,0.687594,SELECT MAX(FREE_MEAL_COUNT_K12 / ENROLLMENT_K12) AS HIGHESTELIGIBLEFREERATE FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
4,0,False,,1.5954780000000002,SELECT MAX(FREE_MEAL_COUNT_K12 / ENROLLMENT_K12) AS HIGHESTELIGIBLEFREERATE FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
5,0,False,,0.6850909999999999,SELECT MAX(FREE_MEAL_COUNT_K12 / ENROLLMENT_K12) AS HIGHESTELIGIBLEFREERATE FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1
1,1,False,,0.270698,SELECT (T1.FREE_MEAL_COUNT_AGES_5_17 / T1.ENROLLMENT_AGES_5_17) AS ELIGIBLEFREERATE FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T2.SOCTYPE = 'CONTINUATION HIGH SCHOOLS' AND NOT T1.FREE_MEAL_COUNT_AGES_5_17 IS NULL AND NOT T1.ENROLLMENT_AGES_5_17 IS NULL AND T1.ENROLLMENT_AGES_5_17 > 0 ORDER BY ELIGIBLEFREERATE ASC LIMIT 3,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
2,1,False,,0.6539739999999999,SELECT (T1.FREE_MEAL_COUNT_AGES_5_17 / T1.ENROLLMENT_AGES_5_17) AS ELIGIBLEFREERATE FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T2.SOCTYPE = 'CONTINUATION HIGH SCHOOLS' AND NOT T1.FREE_MEAL_COUNT_AGES_5_17 IS NULL AND NOT T1.ENROLLMENT_AGES_5_17 IS NULL AND T1.ENROLLMENT_AGES_5_17 > 0 ORDER BY ELIGIBLEFREERATE ASC LIMIT 3,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
3,1,False,,58.583135999999996,SELECT (T1.FREE_MEAL_COUNT_AGES_5_17 / T1.ENROLLMENT_AGES_5_17) AS ELIGIBLEFREERATE FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T2.SOCTYPE = 'CONTINUATION HIGH SCHOOLS' AND NOT T1.FREE_MEAL_COUNT_AGES_5_17 IS NULL AND NOT T1.ENROLLMENT_AGES_5_17 IS NULL AND T1.ENROLLMENT_AGES_5_17 > 0 ORDER BY ELIGIBLEFREERATE ASC LIMIT 3,SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3
4,1,Unknown,,600.03,N/A,N/A
5,1,Unknown,,600.06,N/A,N/A
